Name,Gender,Gender,Grade,Math,Science,English,Total,Attendance
'Navya',Gender,male,11,47,63,74,184,89
ROHAN,Male,F,Grade 3,16,77,8,101,95
'Aditi',F,0,Grade 11,28 marks,43 marks,46,117,82
Myra,0,Male,7,74,12,72,158,98
ISHAAN,Maleale,male,3,92 marks,27,25,144,76
"""Aarav""",Male,  M  ,Grade 9,22 marks,87,56,165,76
Aditi,  Male  ,m,Grade 1,26 marks,22,20,68,82
Saanvi,Male,Female,Grade 3,57,56,91,204,90
"""Anika""",FeMale,1,10,45,5,48 marks,98,89
Krishna,1,M,Grade 12,12 marks,64 marks,75,151,80
MYRA,Male,  F  ,5,99,95,75,269,75
"""Advika""",  F  ,F,5,91 marks,70 marks,21,182,92
"""Anika""",F,  F  ,Grade 12,41,13,97 marks,151,76
Shaurya,  F  ,M,3,79 marks,80,32,191,74
Ananya,Male,f,Grade 5,3 marks,48 marks,49,100,85
Shaurya,f,female,Grade 3,46 marks,51,89,186,70
'Zara',feMale,female,Grade 4,64,45 marks,41,150,76
KABIR,feMale,f,10,77,31,75,183,78
ISHAAN,f,1,7,68,34 marks,72,174,96
"""Anika""",1,male,Grade 5,35,97,73,205,97
"""Aditi""",Male,  F  ,6,48 marks,52,38,138,75
Zara,  F  ,f,9,29 marks,38 marks,21,88,99
"""Advika""",f,Female,Grade 10,26,43,30,99,90
Arjun,FeMale,Female,Grade 8,17,30 marks,15,62,76
ARYAN,FeMale,m,Grade 7,25,22 marks,72 marks,119,84
"""Ananya""",Male,F,Grade 4,51 marks,35,21,107,78
"""Arjun""",F,1,9,3,16,34,53,100
"""Arjun""",1,  F  ,4,11 marks,11 marks,61,83,88
'Anika',  F  ,f,1,24 marks,95,40 marks,159,83
AARAV,f,f,Grade 10,71 marks,34 marks,60,165,86
'Zara',f,1,Grade 1,74 marks,69 marks,51,194,87
Kabir,1,male,8,18,36 marks,45,99,80
VIHAAN,Male,  F  ,Grade 4,63,11,1 marks,75,93
Ananya,  F  ,F,Grade 10,14,70,18,102,99
REYANSH,F,male,10,69,37,27 marks,133,88
SHAURYA,Male,0,1,19,66,93,178,84
Kabir,0,  F  ,Grade 8,62,90,43,195,97
Myra,  F  ,Female,3,74,97 marks,70 marks,241,89
"""Kabir""",FeMale,M,10,49,75,66,190,88
AARAV,Male,  M  ,6,22,30 marks,79,131,77
'Shaurya',  Male  ,  M  ,6,84,72,19,175,86
DIYA,  Male  ,Male,6,47 marks,54,15,116,71
'Anika',Maleale,Male,12,36,85 marks,71,192,85
'Reyansh',Maleale,male,2,64 marks,37,53 marks,154,73
"""Rohan""",Male,  F  ,8,61,10,69 marks,140,82
"""Kabir""",  F  ,  F  ,Grade 6,17,15,38 marks,70,90
'Reyansh',  F  ,0,7,8,83 marks,50,141,92
'Diya',0,Male,Grade 7,1 marks,92,95,188,95
"""Vihaan""",Maleale,Male,2,4,57,25,86,87
SAANVI,Maleale,  F  ,Grade 8,37 marks,61,45,143,83
Reyansh,  F  ,M,4,30,55,82,167,85
"""Advika""",Male,  F  ,Grade 8,37,38,91 marks,166,87
'Aryan',  F  ,0,6,78 marks,21,2 marks,101,73
'Reyansh',0,Female,8,26,12,13,51,94
Isha,FeMale,Female,Grade 10,68,73,46 marks,187,81
"""Kabir""",FeMale,Male,Grade 1,27,1 marks,93 marks,121,92
Advika,Maleale,m,6,11,85 marks,68 marks,164,77
Advika,Male,male,10,69,66 marks,95,230,91
AARAV,Male,  F  ,2,26,6,57,89,71
"""Ishaan""",  F  ,F,Grade 5,80,82,42,204,81
NAVYA,F,  M  ,12,75,22 marks,86 marks,183,76
'Diya',  Male  ,male,Grade 4,87,46,20,153,74
'Saanvi',Male,0,Grade 10,64,64,19,147,98
Saanvi,0,Female,3,99,4,71,174,70
Anika,FeMale,male,Grade 1,15 marks,10,59,84,83
'Myra',Male,1,11,41 marks,51,43 marks,135,70
'Arjun',1,1,Grade 2,31,90 marks,34 marks,155,92
Aditi,1,  F  ,Grade 12,78,21 marks,89,188,87
'Aarav',  F  ,  M  ,5,70,82 marks,53 marks,205,80
REYANSH,  Male  ,female,2,77 marks,61 marks,82,220,75
AARAV,feMale,  M  ,11,30,37,39,106,76
Rohan,  Male  ,m,Grade 7,28,84,77,189,78
"""Vihaan""",Male,M,10,44 marks,13,80,137,92
ISHAAN,Male,Male,3,59,3,32 marks,94,76
"""Zara""",Maleale,Female,Grade 10,74 marks,6 marks,17,97,91
Ananya,FeMale,F,9,36,47 marks,30 marks,113,89
Shaurya,F,Female,8,60,33,7 marks,100,100
"""Ishaan""",FeMale,Male,6,38 marks,60,65,163,98
Aarav,Maleale,Male,9,44,18 marks,18 marks,80,80
MYRA,Maleale,Male,12,7 marks,62 marks,55,124,80
KRISHNA,Maleale,female,Grade 3,95,38,80,213,88
Aryan,feMale,m,3,84,51,76,211,74
"""Aditi""",Male,m,1,86 marks,81 marks,89,256,84
"""Vihaan""",Male,  M  ,6,5,18,86,109,91
